x,y
143.89299230943413,1511.4879248134262
143.89215616550416,1511.987924114289
143.8913200215742,1512.4879234151517
143.89048387764421,1512.9879227160145
143.88964775631894,1513.4879220169153
143.88881163499366,1513.987921317816
143.88797551366838,1514.4879206187168
143.8871393923431,1514.9879199196175
143.88630327101782,1515.4879192205183
143.88546714969254,1515.987918521419
143.8843313726312,1516.487917231428
143.8839586537797,1516.6519977990538
143.8854815149548,1517.1514963486406
143.88465518272767,1517.6514674025723
143.88382885050055,1518.151438456504
143.88300251827343,1518.6514095104355
143.8821761860463,1519.1513805643672
143.8804201862407,1519.6513761711637
143.87866418643512,1520.1513717779603
143.87737045297467,1520.6513698217157
143.87607671951423,1521.151367865471
143.87425559446376,1521.6513643341896
143.8724344694133,1522.1513608029081
143.87092811484388,1522.651358023812
143.86942176027446,1523.151355244716
143.86776580073615,1523.6513518470779
143.86610984119784,1524.1513484494399
143.8642741001246,1524.6513450784148
143.86243835905134,1525.1513417073897
143.86078492200318,1525.6513384234936
143.85913148495501,1526.1513351395974
143.85727531080943,1526.6513308977105
143.8557464392975,1527.1513270861435
143.85421756778555,1527.6513232745765
143.85258596496453,1528.1513180393106
143.85079933373845,1528.651313904996
143.84901270251237,1529.1513097706813
143.8472260712863,1529.6513056363667
143.8458207047504,1530.1513008826644
143.84419862579296,1530.6512964520603
143.84257654683552,1531.1512920214561
143.841069312753,1531.651288196028
143.8394467500309,1532.1512848812233
143.8378241873088,1532.6512815664187
143.8361067203582,1533.1512760204555
143.8343892534076,1533.6512704744923
143.832671786457,1534.1512649285291
143.8310877982119,1534.651261652038
143.8295038099668,1535.151258375547
143.8274300086971,1535.6512528986323
143.82599941717206,1536.1512482803726
143.8238841228865,1536.651243147218
143.82227369059194,1537.1512396210908
143.82066325829737,1537.6512360949635
143.81921318297123,1538.1512338630444
143.81765219738077,1538.6512313083354
143.8160912117903,1539.1512287536264
143.8143072265716,1539.651225311388
143.8125232413529,1540.1512218691498
143.81073925613418,1540.6512184269116
143.80901451585873,1541.151215398233
143.80728977558329,1541.6512123695545
143.80556503530784,1542.151209340876
143.80381764476397,1542.651206284496
143.80230576285408,1543.151203998225
143.79779419770853,1543.6511835563942
143.79328263256298,1544.1511631145636
143.78877106741743,1544.651142672733
143.7889284749158,1545.1511417677207
143.78978716142092,1545.6511410079004
143.79172301306357,1546.1511364182063
143.79368455724148,1546.6511316167825
143.79513326637812,1547.1511295104624
143.79710940769303,1547.6511250670198
143.7986480811727,1548.151122670506
143.80043974446733,1548.6511190767965
143.79162278941476,1549.151040801641
143.7828058343622,1549.6509625264857
143.76599142881764,1550.1506796147262
143.7491770232731,1550.6503967029666
143.73236261772854,1551.150113791207
143.71533999919234,1551.6498239354823
143.69816176985944,1552.1495286886523
143.68098354052654,1552.6492334418222
143.66380531119364,1553.148938194992
143.64663249640603,1553.6486430533007
143.6294596816184,1554.1483479116093
143.6122868668308,1554.648052769918
143.57937973568562,1555.146967874911
143.54647260454044,1555.6458829799042
